subject,block,trial,temporal,perceptual,spatial,category,trialType,imageNameL,imageNameR,imageNameC,targetflanker,response,accuracy,RT,TimeInitialFix,TimeImagePresented,TimeButtonPress,BlockType,Run,TType
1,1,1,2,1,2,1,0,1_4_5_1.bmp,1_3_5_2.bmp,1_4_5_3.bmp,2,2,0,0.727860835,16.26354033,16.77104519,21.5059596,6,1,0
1,1,2,2,1,2,1,0,1_4_5_1.bmp,1_3_5_2.bmp,1_3_5_3.bmp,1,2,1,0.591684739,22.36092718,16.77104519,23.45765392,6,1,0
1,1,3,2,1,2,1,0,1_4_5_1.bmp,1_3_5_2.bmp,1_5_5_0.bmp,1,2,1,0.424659625,24.43251182,16.77104519,25.36164678,6,1,0
1,1,4,2,1,2,1,1,1_4_5_1.bmp,1_3_5_2.bmp,1_4_4_0.bmp,2,1,1,0.392049016,26.49702065,16.77104519,27.39366909,6,1,0
1,1,5,2,1,2,2,0,2_4_4_0.bmp,2_5_5_0.bmp,2_4_5_2.bmp,2,1,1,0.521319363,28.64805444,29.1549692,33.68128459,6,1,1
1,1,6,2,1,2,2,0,2_4_4_0.bmp,2_5_5_0.bmp,2_3_5_1.bmp,1,2,1,0.39029704,34.72230174,29.1549692,35.61724057,6,1,0
1,1,7,2,1,2,2,0,2_4_4_0.bmp,2_5_5_0.bmp,2_4_5_2.bmp,1,1,0,0.460929824,36.77961068,29.1549692,37.74522916,6,1,0
1,1,8,2,1,2,2,1,2_4_4_0.bmp,2_5_5_0.bmp,2_2_5_2.bmp,1,1,0,0.4926676,38.84380613,29.1549692,39.84105753,6,1,0
1,1,9,2,1,2,3,1,3_1_5_1.bmp,3_4_4_0.bmp,3_4_5_1.bmp,1,2,1,0.574909817,41.06921312,41.57376447,46.15278366,6,1,1
1,1,10,2,1,2,4,0,4_4_4_0.bmp,4_3_3_0.bmp,4_3_4_2.bmp,1,1,0,0.470101032,47.14912497,47.65383797,52.128582,6,1,1
1,1,11,2,1,2,4,0,4_4_4_0.bmp,4_3_3_0.bmp,4_3_5_2.bmp,1,2,1,0.507886145,53.27592224,47.65383797,54.28847542,6,1,0
1,1,12,2,1,2,4,0,4_4_4_0.bmp,4_3_3_0.bmp,4_3_4_1.bmp,1,1,0,0.556709218,55.33893869,47.65383797,56.40044624,6,1,0
1,1,13,2,1,2,4,0,4_4_4_0.bmp,4_3_3_0.bmp,4_3_5_2.bmp,1,2,1,0.572105033,57.39551992,47.65383797,58.47240735,6,1,0
1,1,14,2,1,2,4,0,4_4_4_0.bmp,4_3_3_0.bmp,4_3_4_1.bmp,1,1,0,0.683563875,59.45186227,47.65383797,60.64037261,6,1,0
1,1,15,2,1,2,4,0,4_4_4_0.bmp,4_3_3_0.bmp,4_3_5_2.bmp,1,2,1,0.658101184,61.50964052,47.65383797,62.67224318,6,1,0
1,1,16,2,1,2,4,1,4_4_4_0.bmp,4_3_3_0.bmp,4_3_4_1.bmp,1,1,0,0.698366285,63.56412785,47.65383797,64.76819865,6,1,0
1,1,17,2,1,2,1,0,1_1_1_0.bmp,1_4_4_0.bmp,1_4_5_2.bmp,1,1,0,0.434996914,65.67144607,66.17633273,70.61595641,6,1,1
1,1,18,2,1,2,1,0,1_1_1_0.bmp,1_4_4_0.bmp,1_1_4_2.bmp,2,1,1,0.457384409,71.7418484,66.17633273,72.70388692,6,1,0
1,1,19,2,1,2,1,0,1_1_1_0.bmp,1_4_4_0.bmp,1_4_5_1.bmp,1,1,0,0.595947951,73.80315374,66.17633273,74.90381379,6,1,0
1,1,20,2,1,2,1,1,1_1_1_0.bmp,1_4_4_0.bmp,1_4_5_2.bmp,1,2,1,0.835191071,75.85998584,66.17633273,77.19983583,6,1,0
1,1,21,2,1,2,2,0,2_2_3_3.bmp,2_3_5_1.bmp,2_3_5_3.bmp,1,2,1,0.704505862,77.96974138,78.47448082,83.18357349,6,1,1
1,1,22,2,1,2,2,1,2_2_3_3.bmp,2_3_5_1.bmp,2_2_3_1.bmp,2,1,1,0.558384577,84.04038408,78.47448082,85.10343959,6,1,0
1,1,23,2,1,2,3,0,3_4_5_2.bmp,3_2_3_3.bmp,3_2_3_2.bmp,1,1,0,0.825984709,86.28849645,86.79307574,91.62327229,6,1,1
1,1,24,2,1,2,3,0,3_4_5_2.bmp,3_2_3_3.bmp,3_2_3_1.bmp,1,1,0,0.39490608,92.42801725,86.79307574,93.32713246,6,1,0
1,1,25,2,1,2,3,0,3_4_5_2.bmp,3_2_3_3.bmp,3_2_3_1.bmp,1,1,0,0.376386993,94.49439464,86.79307574,95.37511425,6,1,0
1,1,26,2,1,2,3,0,3_4_5_2.bmp,3_2_3_3.bmp,3_2_3_1.bmp,1,1,0,0.313247654,96.55758055,86.79307574,97.37511094,6,1,0
1,1,27,2,1,2,3,0,3_4_5_2.bmp,3_2_3_3.bmp,3_5_5_0.bmp,2,1,1,0.591076911,98.67176095,86.79307574,99.76693281,6,1,0
1,1,28,2,1,2,3,1,3_4_5_2.bmp,3_2_3_3.bmp,3_2_3_2.bmp,1,1,0,0.484487306,100.809954,86.79307574,101.7988626,6,1,0
1,1,29,2,1,2,4,0,4_2_5_1.bmp,4_1_1_0.bmp,4_1_5_1.bmp,1,1,0,0.624914595,102.9686877,103.4731744,108.1026154,6,1,1
1,1,30,2,1,2,4,0,4_2_5_1.bmp,4_1_1_0.bmp,4_2_2_0.bmp,2,1,1,0.537864134,109.0360695,103.4731744,110.0785532,6,1,0
1,2,1,1,2,2,3,0,3_5_5_0.bmp,3_2_5_2.bmp,3_2_5_2.bmp,2,2,0,0.961043398,127.2473853,127.7523161,132.7177564,4,1,0
1,2,2,1,2,2,3,0,3_5_5_0.bmp,3_2_5_2.bmp,3_5_5_0.bmp,1,1,0,0.499210995,133.3221232,127.7523161,134.3257005,4,1,0
1,2,3,1,2,2,3,0,3_5_5_0.bmp,3_2_5_2.bmp,3_1_5_1.bmp,2,2,0,0.448289217,135.4131244,127.7523161,136.3657429,4,1,0
1,2,4,1,2,2,3,1,3_5_5_0.bmp,3_2_5_2.bmp,3_4_5_1.bmp,2,1,1,0.398231559,137.5590056,127.7523161,138.461641,4,1,0
1,2,5,1,2,2,1,0,1_2_5_1.bmp,1_2_3_1.bmp,1_2_2_0.bmp,2,2,0,0.82076063,139.6832174,140.1879115,145.0133948,4,1,1
1,2,6,1,2,2,1,0,1_2_5_1.bmp,1_2_3_1.bmp,1_2_2_0.bmp,1,2,1,0.462307729,145.7422889,140.1879115,146.7092627,4,1,0
1,2,7,1,2,2,1,0,1_2_5_1.bmp,1_2_3_1.bmp,1_2_2_0.bmp,1,2,1,0.454170099,147.7985171,140.1879115,148.7572896,4,1,0
1,2,8,1,2,2,1,1,1_2_5_1.bmp,1_2_3_1.bmp,1_2_2_0.bmp,2,2,0,0.448892839,149.9074848,140.1879115,150.8611114,4,1,0
1,2,9,1,2,2,2,0,2_5_5_0.bmp,2_2_5_2.bmp,2_1_5_1.bmp,2,1,1,0.728118027,151.9996755,152.5042242,157.2369146,4,1,1
