ROIid,Volume,Peak,Mean,SD,Peak_Magnitude_XYZ_1,Peak_Magnitude_XYZ_2,Peak_Magnitude_XYZ_3,hemisphere,lobe,id_Yeo7,P_Yeo7,name_Yeo7,id_WFU,P_WFU,name_WFU,id_AAL2,P_AAL2,name_AAL2,id_HO_CS,P_HO_CS,name_HO_CS,id_Yeo17,P_Yeo17,name_Yeo17,id_Shirer2012,P_Shirer2012,name_Shirer2012,id_Cerb,P_Cerb,name_Cerb,id_BNA,P_BNA,name_BNA
1,4859,7.058435917,4.462022133,0.831620162,-32,-78,-10,Left,Occipital,1,0.663922618,Visual,56,0.218151883,BA.18,55,0.337723811,Occipital_Mid_L,38,0.299650134,Lateral Occipital Cortex inferior,1,0.621938671,17Network_01,5,0.176579543,high_Visual,5,0.018110722,Left_VI,205,0.168141593,iOccG
2,4743,6.950847149,4.470335449,0.841473733,30,-78,-6,Right,Occipital,1,0.660341556,Visual,14,0.241197554,BA.18,56,0.230023192,Occipital_Mid_R,63,0.265443812,Occipital Pole,1,0.618595825,17Network_01,5,0.333755007,high_Visual,6,0.022559561,Vermis_VI,206,0.167615433,iOccG
3,1918,6.877189159,4.528044606,0.883121268,42,-58,-8,Right,Occipital,1,0.549009385,Visual,32,0.326381648,BA.37,60,0.369655892,Fusiform_R,54,0.36548488,Temporal Occipital Fusiform Cortex,1,0.376433785,17Network_01,14,0.039624609,Visuospatial,7,0.025547445,Right_VI,108,0.237747654,A37lv
19,1052,6.310958385,3.709470412,0.568964987,48,6,30,Right,Frontal,3,0.486692015,Dorsal Attention,9,0.326045627,BA.09,8,0.377376426,Frontal_Inf_Oper_R,22,0.441064639,Precentral Gyrus,12,0.496197719,17Network_12,14,0.30418251,Visuospatial,0,0,null,64,0.291825095,A6cvl
4,1899,5.967908382,3.913330826,0.55702987,32,-60,50,Right,Parietal,3,0.666140074,Dorsal Attention,7,0.402843602,BA.07,64,0.330700369,Parietal_Sup_R,37,0.496050553,Lateral Occipital Cortex superior,5,0.550289626,17Network_05,14,0.377040548,Visuospatial,0,0,null,134,0.19852554,A7ip
5,862,5.918700695,4.093455738,0.64288471,50,-34,52,Right,Parietal,3,0.573085847,Dorsal Attention,35,0.551044084,BA.40,62,0.380510441,Postcentral_R,32,0.3387471,Postcentral Gyrus,6,0.40487239,17Network_06,14,0.313225058,Visuospatial,0,0,null,140,0.578886311,A40rd
6,2155,5.913697243,3.776024327,0.517239239,-40,-38,40,Left,Parietal,3,0.613921114,Dorsal Attention,77,0.316009281,BA.40,65,0.457540603,Parietal_Inf_L,33,0.334570766,Superior Parietal Lobule,12,0.318793503,17Network_12,14,0.617633411,Visuospatial,0,0,null,139,0.168445476,A40rd
14,410,5.497684479,3.842448301,0.563491589,-32,16,6,Left,Insula,4,0.531707317,Ventral Attention,84,0.314634146,BA.47,33,0.73902439,Insula_L,17,0.590243902,Insular Cortex,8,0.636585366,17Network_08,1,0.207317073,anterior_Salience,0,0,null,167,0.431707317,dIa
21,694,5.426359177,3.715442082,0.475456121,-6,6,52,Left,Frontal,4,0.527377522,Ventral Attention,69,0.220461095,BA.32,15,0.576368876,Supp_Motor_Area_L,43,0.551873199,Paracingulate Gyrus,8,0.373198847,17Network_08,1,0.785302594,anterior_Salience,0,0,null,1,0.458213256,A8m
15,768,5.297116756,3.710169098,0.518590557,-42,4,30,Left,Frontal,6,0.39453125,Frontoparietal,51,0.389322917,BA.09,1,0.5703125,Precentral_L,22,0.600260417,Precentral Gyrus,12,0.591145833,17Network_12,14,0.559895833,Visuospatial,0,0,null,63,0.4453125,A6cvl
10,474,4.772034168,3.674431409,0.405327029,10,-14,8,Right,subcorticalGM,0,0,null,0,0,null,82,0.689873418,Thalamus_R,9,0.696202532,R Thalamus,0,0,null,3,0.390295359,Basal_Ganglia,0,0,null,246,0.316455696,lPFtha
